MiB,numfiles,delay,N,fpt,run,seconds
1,1,0,1,1,1,1.4891808032989502
1,1,0,1,1,2,1.480849266052246
1,1,0,1,1,3,1.4850904941558838
1,1,0,1,1,4,1.4863696098327637
1,1,0,1,1,5,1.4786169528961182
1,1,0,1,3,1,1.4898390769958496
1,1,0,1,3,2,1.4716341495513916
1,1,0,1,3,3,1.468017578125
1,1,0,1,3,4,1.4895131587982178
1,1,0,1,3,5,1.5475554466247559
1,1,0,2,1,1,1.5297491550445557
1,1,0,2,1,2,1.5413594245910645
1,1,0,2,1,3,1.5633952617645264
1,1,0,2,1,4,1.5523614883422852
1,1,0,2,1,5,1.5632660388946533
1,1,0,2,3,1,1.552433967590332
1,1,0,2,3,2,1.5603103637695312
1,1,0,2,3,3,1.559579610824585
1,1,0,2,3,4,1.6079180240631104
1,1,0,2,3,5,1.5909171104431152
1,1,0,3,1,1,1.5198397636413574
1,1,0,3,1,2,1.5306761264801025
1,1,0,3,1,3,1.520625352859497
1,1,0,3,1,4,1.489090919494629
1,1,0,3,1,5,1.493387222290039
1,1,0,3,3,1,1.4892246723175049
1,1,0,3,3,2,1.5314185619354248
1,1,0,3,3,3,1.4843659400939941
1,1,0,3,3,4,1.4746804237365723
1,1,0,3,3,5,1.4735302925109863
1,1,0,4,1,1,1.4729440212249756
1,1,0,4,1,2,1.5493817329406738
1,1,0,4,1,3,1.4770848751068115
1,1,0,4,1,4,1.4648654460906982
1,1,0,4,1,5,1.5006752014160156
1,1,0,4,3,1,1.4809844493865967
1,1,0,4,3,2,1.486825942993164
1,1,0,4,3,3,1.4770846366882324
1,1,0,4,3,4,1.4726152420043945
1,1,0,4,3,5,1.4752190113067627
1,1,0,8,1,1,1.4613964557647705
1,1,0,8,1,2,1.4955599308013916
1,1,0,8,1,3,1.4689371585845947
1,1,0,8,1,4,1.4728789329528809
1,1,0,8,1,5,1.4675097465515137
1,1,0,8,3,1,1.4784822463989258
1,1,0,8,3,2,1.4823739528656006
1,1,0,8,3,3,1.464550256729126
1,1,0,8,3,4,1.4739115238189697
1,1,0,8,3,5,1.4839186668395996
1,1,50,1,1,1,3.4765102863311768
1,1,50,1,1,2,3.4880964756011963
1,1,50,1,1,3,3.4871063232421875
1,1,50,1,1,4,3.5039308071136475
1,1,50,1,1,5,3.5009095668792725
1,1,50,1,3,1,3.4828696250915527
1,1,50,1,3,2,3.4791064262390137
1,1,50,1,3,3,3.4757397174835205
1,1,50,1,3,4,3.5096435546875
1,1,50,1,3,5,3.4791247844696045
1,1,50,2,1,1,4.4792375564575195
1,1,50,2,1,2,4.5111143589019775
1,1,50,2,1,3,4.4866042137146
1,1,50,2,1,4,4.48005485534668
1,1,50,2,1,5,4.500684499740601
1,1,50,2,3,1,4.482676982879639
1,1,50,2,3,2,4.507509469985962
1,1,50,2,3,3,4.50034499168396
1,1,50,2,3,4,4.55363655090332
1,1,50,2,3,5,4.482681512832642
1,1,50,3,1,1,4.4757304191589355
1,1,50,3,1,2,4.480869293212891
1,1,50,3,1,3,4.487368822097778
1,1,50,3,1,4,4.489835977554321
1,1,50,3,1,5,4.547666549682617
1,1,50,3,3,1,4.555974245071411
1,1,50,3,3,2,4.568295478820801
1,1,50,3,3,3,4.539634466171265
1,1,50,3,3,4,4.534389972686768
1,1,50,3,3,5,4.496061086654663
1,1,50,4,1,1,4.502213954925537
1,1,50,4,1,2,4.508692502975464
1,1,50,4,1,3,4.485904693603516
1,1,50,4,1,4,4.482801914215088
1,1,50,4,1,5,4.478096008300781
1,1,50,4,3,1,4.477976560592651
1,1,50,4,3,2,4.488204002380371
1,1,50,4,3,3,4.486148834228516
1,1,50,4,3,4,4.492558002471924
1,1,50,4,3,5,4.4877612590789795
1,1,50,8,1,1,5.486011981964111
1,1,50,8,1,2,5.48570704460144
1,1,50,8,1,3,5.476377248764038
1,1,50,8,1,4,5.478108644485474
1,1,50,8,1,5,5.483859062194824
1,1,50,8,3,1,5.483396053314209
1,1,50,8,3,2,5.492094993591309
1,1,50,8,3,3,5.51155948638916
1,1,50,8,3,4,5.5014967918396
1,1,50,8,3,5,5.496521234512329
1,1,100,1,1,1,6.499540090560913
1,1,100,1,1,2,6.484121084213257
